lat,lon,emission,cluster,cluster_ordered
55.8,13.7,3256.61,2,1
65.1,28.0,181.569,0,0
59.5,6.3,339.924,0,0
62.3,6.0,3966.47,2,1
52.4,-2.5,2991.08,2,1
55.1,23.1,1828.14,2,1
59.1,14.7,972.02,0,0
59.2,24.0,926.553,0,0
44.1,6.8,425.663,0,0
41.4,17.4,0.209016,0,0
52.2,28.0,409.775,0,0
55.3,-4.3,505.529,0,0
53.2,10.5,8854.69,3,3
61.5,7.9,258.583,0,0
61.3,28.9,96.066,0,0
42.4,11.5,663.513,0,0
35.8,9.9,1058.31,0,0
36.9,8.4,0.166615,0,0
44.9,7.8,18329.5,1,4
51.9,27.5,100.774,0,0
39.9,4.0,8988.76,3,3
45.9,27.3,8881.69,3,3
36.5,29.2,1844.38,2,1
54.8,25.1,3736.89,2,1
46.2,25.1,5840.94,4,2
45.3,17.1,1466.65,0,0
50.7,15.5,1701.19,0,0
59.3,17.3,309.217,0,0
51.5,-3.9,463.122,0,0
63.5,28.5,356.728,0,0
57.0,9.7,14022.1,1,4
48.0,23.9,3043.72,2,1
46.3,27.4,4608.93,2,1
43.7,23.5,3527.84,2,1
42.0,13.7,4315.91,2,1
52.1,5.8,3139.85,2,1
52.9,-4.5,1962.72,2,1
39.7,29.4,5681.22,4,2
57.5,29.5,2.22117,0,0
62.0,25.7,24.6144,0,0
48.8,-3.3,3627.38,2,1
41.3,17.3,0.763622,0,0
56.7,21.5,8554.35,4,2
57.5,14.1,8375.58,4,2
40.0,-2.3,2645.54,2,1
56.2,23.7,3644.07,2,1
48.9,0.7,4897.64,4,2
47.8,-0.9,3928.94,2,1
43.0,26.5,7281.04,4,2
37.9,24.4,102.132,0,0
48.7,0.0,4238.37,2,1
48.4,15.2,5034.32,4,2
62.7,22.3,1643.86,0,0
46.4,5.0,4060.73,2,1
45.5,7.3,129.757,0,0
36.3,10.3,3264.96,2,1
37.8,14.6,2303.22,2,1
51.1,24.1,2000.04,2,1
52.4,8.4,5596.22,4,2
69.0,19.6,427.346,0,0
39.6,22.7,1211.69,0,0
50.1,15.6,13878.3,1,4
39.0,21.6,427.242,0,0
59.7,20.5,9.91993,0,0
67.3,22.6,480.877,0,0
41.6,-1.7,198.324,0,0
38.2,-2.0,615.456,0,0
56.1,26.3,2723.01,2,1
43.6,2.1,5449.67,4,2
46.0,27.0,3489.06,2,1
48.3,-1.5,6099.15,4,2
45.3,21.0,5543.94,4,2
43.1,-8.2,2686.77,2,1
37.7,-4.1,638.791,0,0
51.3,5.1,7011.73,4,2
46.2,9.5,247.668,0,0
52.7,27.2,765.806,0,0
38.8,-8.0,762.221,0,0
49.6,28.4,2634.77,2,1
45.8,17.7,2649.6,2,1
49.8,29.8,2054.81,2,1
54.5,26.2,1576.69,0,0
42.1,12.4,11261.4,3,3
39.7,30.0,1691.12,0,0
44.3,5.4,1588.7,0,0
49.1,27.6,3417.13,2,1
62.0,-7.0,0.112577,0,0
36.3,28.3,0.410666,0,0
57.4,25.3,1185.97,0,0
53.5,-9.8,399.913,0,0
44.7,-4.0,0.57569,0,0
61.3,24.0,793.7,0,0
53.5,7.7,6085.9,4,2
45.3,28.4,3118.06,2,1
