lat,lon,emission
49.6,28.5,2536.33
44.7,21.2,10627.6
53.8,30.8,927.98
46.0,20.9,13297.4
43.4,-69.4,20.7034
53.6,20.3,1910.64
62.0,39.2,3.01444
46.4,11.5,4649.19
63.4,28.6,61.9728
64.2,15.8,123.171
43.6,22.5,1454.79
40.5,-7.7,2854.47
40.2,25.0,0.383095
63.8,-22.8,3.0454
59.3,30.4,108.202
60.2,13.4,1677.6
47.5,-52.7,4679.93
51.3,-2.9,9185.6
49.6,15.0,6594.04
42.6,-1.9,5732.22
61.9,22.3,452.797
65.1,12.2,99.3185
48.7,5.9,5327.17
53.1,38.3,954.585
54.9,29.3,1103.94
63.5,13.0,2059.21
46.4,-62.7,935.511
56.9,34.9,260.982
47.7,31.2,1705.09
50.6,16.4,3683.38
47.8,36.6,2530.23
61.8,28.8,28598.1
46.9,22.3,1713.55
60.5,33.0,25.0462
52.2,-0.4,4709.04
69.4,21.5,21.5992
52.2,-2.8,5026.45
51.4,15.3,1167.56
42.1,-8.1,2481.25
41.1,-7.6,4051.89
61.8,7.2,78.7454
52.1,-8.2,851.966
58.1,36.2,104.885
48.5,-3.1,5813.94
47.3,6.4,4387.2
43.6,21.4,8477.95
54.0,29.0,24.7948
52.5,16.7,10377.9
55.6,24.7,1886.16
51.5,23.1,819.892
42.9,20.8,18185.4
40.8,34.0,624.532
47.5,39.8,1199.94
41.9,-6.5,142.837
53.0,34.0,718.938
50.8,-4.5,2162.7
54.7,28.7,71.6992
64.2,-22.3,0.724982
54.7,37.1,419.847
47.3,4.9,12323.4
66.1,36.6,0.000735335
57.6,31.5,18.2444
60.2,8.4,87.2584
54.1,13.2,2206.84
46.7,38.6,1559.29
46.7,25.0,1804.46
66.2,-15.2,0.0136492
41.1,23.9,5084.33
50.9,19.0,7334.73
60.5,13.5,98.906
44.8,26.5,5495.25
52.3,-6.9,1137.37
46.4,-0.4,7049.54
49.0,23.0,1514.35
50.9,38.1,1476.92
56.9,26.1,187.464
45.9,34.8,749.764
46.5,16.0,8947.58
60.7,9.6,344.547
48.2,25.7,2296.44
42.6,-3.8,507.908
54.8,34.0,23.7697
50.5,36.1,1516.94
59.9,17.8,3289.28
45.5,-65.8,2707.64
41.8,9.1,317.028
48.1,-58.1,1.12788
44.8,23.4,2061.09
42.7,25.6,172.403
51.7,-0.7,10873.8
48.9,19.5,201.852
54.7,39.2,788.258
49.0,28.2,1802.84
52.9,13.9,3248.91
40.6,0.9,0.745774
67.3,14.6,990.384
46.9,3.8,3481.66
44.1,25.9,9472.94
45.3,0.1,3722.56
57.8,-4.2,837.428
51.4,13.1,5868.85
63.1,27.9,4966.37
52.4,32.6,405.77
66.0,26.2,115.183
41.6,-7.0,983.287
60.2,25.4,9170.16
69.9,21.3,7.74601
44.2,-3.3,0.425522
49.2,-68.2,7447.03
45.1,-63.0,1264.76
50.3,37.2,3905.19
50.2,13.4,12029.8
44.7,5.0,8218.13
44.2,21.4,7404.19
62.0,16.7,560.104
46.9,-64.9,675.509
60.6,26.9,1427.79
45.9,25.6,1253.26
47.7,30.2,2261.69
66.6,24.9,304.74
64.2,-18.7,7.35632
43.4,25.2,5984.3
64.8,36.6,1.43657
40.8,31.2,10257.5
47.3,-53.1,1144.94
47.1,-53.4,112.178
52.4,14.7,2269.32
47.9,-70.0,6.41541
53.7,24.4,356.894
47.7,36.3,2171.56
52.1,-7.8,949.195
41.7,1.5,4336.68
40.0,30.8,3923.93
55.7,36.8,6080.34
69.1,17.0,108.433
41.6,20.8,586.504
64.8,-22.7,65.4764
58.9,34.7,139.598
43.9,-66.0,1384.47
64.6,-19.6,34.3871
51.1,38.5,1430.64
51.5,32.8,714.893
50.0,21.7,10073.7
46.5,25.4,983.805
58.0,26.9,2360.25
53.8,36.3,182.65
43.4,40.0,2227.07
45.3,36.9,2515.76
61.9,28.6,871.382
62.6,15.3,10.2559
70.0,32.0,0.000437384
48.9,-57.4,0.0253473
48.3,-3.7,2525.41
61.4,6.7,348.902
45.3,28.1,9521.55
40.8,37.4,9286.57
62.8,35.0,19.8318
56.1,34.2,137.762
60.8,39.2,1.58655
47.9,-66.4,1152.11
51.4,9.2,4837.28
48.1,11.8,21532.8
61.0,7.8,204.597
53.5,-6.6,3294.34
54.4,35.9,1120.22
62.5,22.3,3902.8
54.3,23.5,2410.38
44.2,20.1,13725.4
53.4,16.6,2094.57
47.6,-58.9,336.412
59.6,6.0,588.88
54.3,22.7,560.223
59.6,15.1,1126.58
53.5,22.7,104.334
44.4,-68.0,981.344
46.7,34.6,2184.28
66.6,31.3,35.38
63.1,12.3,6.15356
44.1,8.0,2196.9
45.9,38.6,2089.17
46.2,16.7,9645.58
53.0,10.3,2592.18
40.1,-8.6,12213.9
48.2,-69.6,1034.01
42.1,19.6,632.588
52.1,15.1,1459.22
48.9,-64.7,298.384
61.9,38.8,120.987
56.2,29.4,48.6537
48.3,-53.5,163.711
60.1,25.9,127.307
64.8,27.9,153.181
63.4,11.1,1559.96
57.9,-4.8,215.123
55.7,34.7,346.369
62.9,34.5,791.884
64.7,-16.6,5.69995
62.9,28.8,94.7815
43.7,28.0,5701.87
52.5,27.7,1391.02
60.5,16.3,4187.46
53.2,18.8,5199.64
64.2,15.9,65.7574
60.7,28.8,1479.24
47.2,12.1,3178.25
46.5,4.5,2327.57
60.3,37.2,32.0482
62.0,12.1,314.699
51.4,39.8,1362.07
59.6,33.0,50.1576
54.7,-3.3,1646.33
57.2,-2.2,10083.4
58.0,14.1,3231.93
52.0,-4.0,1007.73
54.0,8.8,1039.67
52.4,15.3,1435.88
45.2,21.8,10348.1
44.7,-0.2,6387.24
48.9,7.9,12514.9
47.0,0.1,4613.22
44.2,7.4,1037.25
48.7,19.7,1207.18
49.2,5.8,5997.98
53.3,22.9,4270.08
55.7,27.8,608.915
47.6,15.9,16993.3
68.3,16.1,145.431
54.8,39.1,860.156
47.9,-66.6,1042.33
41.1,25.3,13100.7
65.0,33.7,121.591
55.9,22.9,6362.51
60.4,14.1,213.688
42.6,1.8,1063.4
61.1,5.1,43.2811
49.5,33.5,2284.5
57.2,-6.2,124.906
53.6,19.3,3118.35
47.5,1.8,2277.17
47.5,23.5,11232.4
49.1,15.7,7414.72
49.4,19.1,4027.16
63.8,15.8,80.1417
51.1,10.7,4674.19
48.9,35.9,2723.85
47.8,16.7,920.966
47.7,11.4,6228.36
43.5,12.6,3604.03
53.8,25.4,2576.63
62.7,34.0,11.5818
55.2,-6.5,757.769
53.2,24.5,3107.52
65.4,-22.2,52.3807
64.0,-18.8,0.00457134
44.6,4.0,1288.43
52.4,33.1,650.005
48.9,30.3,2196.79
46.6,-69.3,149.991
46.7,0.2,5893.75
56.0,28.3,7.25954
44.7,10.5,26997.3
64.4,-21.4,22.4612
46.6,-67.5,3.17286
54.4,39.3,1211.0
48.3,38.0,7168.44
46.0,23.7,4166.93
54.3,18.0,6134.0
52.6,14.8,2058.5
67.0,23.4,6.15356
53.0,28.8,837.08
50.1,-5.8,83.8865
53.9,15.2,6046.46
41.6,-7.7,2942.8
53.1,39.2,1381.69
52.0,16.5,11863.6
59.5,5.5,1318.92
58.3,27.5,420.791
43.2,24.1,4645.66
45.2,25.9,11887.0
55.8,-3.3,5374.43
52.7,33.9,196.887
47.3,25.9,686.451
52.0,7.1,8185.36
48.7,-69.3,15.6806
59.8,5.2,2203.36
46.2,-0.7,5288.13
55.8,32.0,51.0488
52.5,31.9,1793.8
65.7,-17.3,51.3997
61.3,11.9,474.02
43.5,11.2,5598.95
49.3,12.6,5580.31
49.8,34.5,3003.78
55.8,28.3,249.719
48.1,28.0,10985.7
59.2,31.6,59.8931
50.6,9.6,4819.76
57.4,25.9,6094.41
41.4,-1.1,2037.59
50.4,25.9,3009.78
51.9,30.3,210.334
46.3,0.2,3747.3
62.5,33.7,9.67793
66.1,17.5,73.4813
48.5,34.3,3086.24
43.5,-1.2,12701.4
47.2,19.1,11332.0
63.7,-17.7,0.0524698
56.1,33.9,74.5787
46.8,6.1,4105.44
61.1,10.5,985.825
61.0,9.5,431.111
62.4,21.1,22.957
44.2,39.3,23.3222
54.9,37.6,29.8271
46.3,27.5,8610.65
44.7,-63.2,2490.35
46.1,21.4,13700.6
51.7,6.8,9287.16
